UCEAP/ Campus,Country,Program Title,Term,GPA,English-language instruction?,Sophomores?,UCEAP Program Type,Broad Field of Study,Internship: Required or Optional,Academic Year,Notes,
UCEAP,Italy,"Made in Italy: Language, Culture, Food and Business -UC Center Florence",Summer,2.00,Mixed,Yes,Themed,interdisciplinary,Optional,2024-25,"new elective courses, program title, was Florence L&C",
UCEAP,Italy,"Made in Italy: Language, Culture, Food and Business -UC Center Florence",Winter quarter,2.00,Mixed,Yes,Themed,interdisciplinary,Optional,2024-25,"new elective courses, program title, was Florence L&C",
UCEAP,Italy,"Psychology and Cognitive Science, University of Padova",Spring semester,3.00,Mixed,No,Discipline Focused,social science,No,2024-25, ,
UCEAP,Italy,"Psychology and Cognitive Science, University of Padova",Year,3.00,Mixed,No,Discipline Focused,social science,No,2024-25, ,
UCEAP,Italy,Sociology in Rome,Fall semester,2.00,yes,Yes,Themed,social science,No,2024-25,Formerly All Roads Lead to Rome,
UCEAP,Italy,University of Bologna,Fall semester,2.75,No,No,Immersion,open,Optional,2024-25, ,
UCEAP,Italy,University of Bologna,Spring semester,2.75,No,No,Immersion,open,Optional,2024-25, ,
UCEAP,Italy,University of Bologna,Year,2.75,No,No,Immersion,open,Optional,2024-25, ,
UCEAP,Italy,University of Commerce Luigi Bocconi,Fall semester,3.20,Mixed,No,Discipline Focused,social science,No,2024-25,We have removed information regarding internships from the UCEAP Bocconi page. We will not advise on internships or provide credit.,
UCEAP,Italy,University of Commerce Luigi Bocconi,Spring semester,3.20,Mixed,No,Discipline Focused,social science,No,2024-25,We have removed information regarding internships from the UCEAP Bocconi page. We will not advise on internships or provide credit.,
UCEAP,Italy,University of Commerce Luigi Bocconi,Year,3.20,Mixed,No,Discipline Focused,social science,No,2024-25,We have removed information regarding internships from the UCEAP Bocconi page. We will not advise on internships or provide credit.,
UCEAP,Italy,"Volcanology Studies, Sicily",Summer,2.50,yes,No,Discipline Focused,physical science,No,2024-25,name changed 2023,
UCEAP,Japan,Engineering & Science - Tohoku University,Spring semester,2.85,Mixed,No,Discipline Focused,STEM,No,2024-25, ,
UCEAP,Japan,Engineering & Science - Tohoku University,Year,2.85,Mixed,No,Discipline Focused,STEM,No,2024-25, ,
UCEAP,Japan,"Global Studies, Japan - Meiji Gakuin University",Fall semester,3.00,yes,Yes,Discipline Focused,social science,Optional,2024-25,"""International"" dropped from the name in 2019",
UCEAP,Japan,"Global Studies, Japan - Meiji Gakuin University",Spring Semester,3.00,yes,Yes,Discipline Focused,social science,Optional,2024-25,"""International"" dropped from the name in 2019",
UCEAP,Japan,Hitotsubashi University,Spring semester,2.85,Mixed,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Japan,International Christian University,Fall quarter,3.00,Mixed,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Japan,International Christian University,Spring quarter,3.00,Mixed,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Japan,International Christian University,Year,3.00,Mixed,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Japan,Japanese in Kyoto - Doshisha University,Spring Semester,2.50,No,Yes,Language,humanities,No,2024-25,name changed from L&C in 2019,
UCEAP,Japan,Japanese in Osaka - Osaka University,Summer,2.85,No,Yes,Language,humanities,No,2024-25,name changed from Beginning Japanese in 2019,
UCEAP,Japan,Japanese in Toyko - International Christian University,Summer,3.00,No,Yes,Language,humanities,No,2024-25,name changed from L&C in 2019,
UCEAP,Japan,Keio University,Spring semester,3.00,Mixed,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Japan,Keio University,Year,3.00,Mixed,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Japan,STEM Research Tokyo - University of Tokyo,Summer,3.30,yes,No,Research,STEM,No,2024-25,"name changed from Summer Research Lab, Science in 2019, combined with engineering option",
UCEAP,Japan,"STEM Research, Osaka University",Fall semester,3.00,Mixed,No,Research,STEM,No,2024-25,"name changed from Lab Research, Engineering & Science in 2019",
UCEAP,Japan,"STEM Research, Osaka University",Spring semester,3.00,Mixed,No,Research,STEM,No,2024-25,"name changed from Lab Research, Engineering & Science in 2019",
UCEAP,Japan,"STEM Research, Osaka University",Summer,3.00,yes,No,Research,STEM,No,2024-25,"name changed from Lab Research, Engineering & Science in 2019",
UCEAP,Japan,Waseda University,Year,3.00,Mixed,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Jordan,Advanced Arabic Language - CIEE,Fall semester,3.00,No,Yes,Language,humanities,No,2024-25, ,
UCEAP,Jordan,Advanced Arabic Language - CIEE,Spring semester,3.00,No,Yes,Language,humanities,No,2024-25, ,
UCEAP,Jordan,Middle East Studies - CIEE,Fall semester,2.50,Mixed,Yes,Language,humanities,Optional,2024-25,"replaced Lang and Culture, Diplomacy programs",
UCEAP,Jordan,Middle East Studies - CIEE,Spring semester,2.50,Mixed,Yes,Language,humanities,Optional,2024-25,"replaced Lang and Culture, Diplomacy programs",
UCEAP,Korea,KAIST,Fall semester,2.85,Mixed,Yes,Immersion,open,No,2024-25, ,
UCEAP,Korea,KAIST,Year,2.85,Mixed,Yes,Immersion,open,No,2024-25, ,
UCEAP,Korea,Korea University,Fall semester,2.50,Mixed,Yes,Immersion,open,No,2024-25, ,
UCEAP,Korea,Korea University,spring semester,2.50,Mixed,Yes,Immersion,open,No,2024-25, ,
UCEAP,Korea,Korea University,Year,2.50,Mixed,Yes,Immersion,open,No,2024-25, ,
UCEAP,Korea,Seoul National University,Fall semester,2.85,Mixed,Yes,Immersion,open,No,2024-25, ,
UCEAP,Korea,Seoul National University,Spring semester,2.85,Mixed,Yes,Immersion,open,No,2024-25, ,
UCEAP,Korea,Seoul Summer - Yonsei University,Summer,2.00,Mixed,Yes,International School,open,Optional,2024-25,name changed from ISS in 2019,
UCEAP,Korea,Yonsei University,Fall semester,2.85,Mixed,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Korea,Yonsei University,Spring semester,2.85,Mixed,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Korea,Yonsei University,Year,2.85,Mixed,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Mexico,Community Health in Mexico,Summer,2.50,Mixed,Yes,Themed,life sciences,No,2024-25,changed from spring to summer starting in 2019,
UCEAP,Mexico,Contemporary Mexico - UC Center Mexico City,Summer,2.50,Mixed,Yes,Themed,interdisciplinary,No,2024-25, ,
UCEAP,Mexico,Field Research in Mexico - UC Center Mexico City,Fall semester,2.50,No,No,Research,open,No,2024-25, ,
UCEAP,Mexico,Leadership in Social Justice and Public Policy - UNAM and UCCS,Year,3.00,Mixed,No,Intern,social science,Required,2024-25, ,
UCEAP,Mexico,UNAM,Fall semester,2.75,No,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Mexico,UNAM,Spring semester,2.75,No,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Mexico,UNAM,Year,2.75,No,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Morocco,Arabic Language and Culture- CIEE,Fall semester,2.50,Mixed,Yes,Language,humanities,No,2024-25, ,
UCEAP,Netherlands,Biological and Life Sciences - Maastricht University,Fall semester,3.00,yes,No,Discipline Focused,life sciences,No,2024-25, ,
UCEAP,Netherlands,Business & Economics - Maastricht University,Fall semester,3.00,yes,No,Discipline Focused,social science,No,2024-25, ,
UCEAP,Netherlands,Business & Economics - Maastricht University,Spring semester,3.00,yes,No,Discipline Focused,social science,No,2024-25, ,
UCEAP,Netherlands,Business & Economics - Maastricht University,Year,3.00,yes,No,Discipline Focused,social science,No,2024-25, ,
UCEAP,Netherlands,Maastricht Summer - Maastricht University,Summer,3.00,yes,No,International School,interdisciplinary,No,2024-25,name changed from ISS in 2019,
UCEAP,Netherlands,Psychology & Neuroscience - Maastricht University,Fall semester,3.00,yes,No,Discipline Focused,life sciences,No,2024-25, ,
UCEAP,Netherlands,Psychology & Neuroscience - Maastricht University,Spring quarter,3.00,yes,No,Discipline Focused,life sciences,No,2024-25, ,
UCEAP,Netherlands,University College Maastricht,Fall semester,2.85,yes,No,Immersion,open,No,2024-25, ,
UCEAP,Netherlands,University College Maastricht,Spring semester,2.85,yes,No,Immersion,open,No,2024-25, ,
UCEAP,Netherlands,University College Maastricht,Year,2.85,yes,No,Immersion,open,No,2024-25, ,
UCEAP,Netherlands,University College Utrecht,Fall semester,3.00,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Netherlands,University College Utrecht,Spring semester,3.00,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Netherlands,University College Utrecht,Year,3.00,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Netherlands,Utrecht University,Fall semester,2.85,yes,No,Immersion,open,No,2024-25, ,
UCEAP,Netherlands,Utrecht University,Spring semester,2.85,yes,No,Immersion,open,No,2024-25, ,
UCEAP,Netherlands,Utrecht University,Year,2.85,yes,No,Immersion,open,No,2024-25, ,
UCEAP,Netherlands,Wageningen University,Fall semester,3.00,yes,No,Discipline Focused,life sciences,No,2024-25, ,
UCEAP,Netherlands,Wageningen University,year,3.00,yes,No,Discipline Focused,life sciences,No,2024-25, ,
UCEAP,New Zealand,Massey University,Fall semester,2.75,yes,Yes,Immersion,open,No,2024-25,Palmerson North campus canceled,
UCEAP,New Zealand,Massey University,Spring semester,2.75,yes,Yes,Immersion,open,No,2024-25,Palmerson North campus canceled,
UCEAP,New Zealand,University of Auckland,Fall semester,2.85,yes,No,Immersion,open,No,2024-25, ,
UCEAP,New Zealand,University of Auckland,Spring semester,2.85,yes,No,Immersion,open,No,2024-25, ,
UCEAP,New Zealand,University of Canterbury,Fall semester,2.75,yes,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,New Zealand,University of Canterbury,Spring semester,2.75,yes,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,New Zealand,University of Otago,Fall semester,2.85,yes,No,Immersion,open,No,2024-25, ,
UCEAP,New Zealand,University of Waikato,Fall semester,2.75,yes,No,Immersion,open,Optional,2024-25, ,
UCEAP,New Zealand,University of Waikato,Spring semester,2.75,yes,No,Immersion,open,Optional,2024-25, ,
UCEAP,New Zealand,Victoria University of Wellington,Fall semester,2.75,yes,No,Immersion,open,No,2024-25, ,
UCEAP,New Zealand,Victoria University of Wellington,Spring semester,2.75,yes,No,Immersion,open,No,2024-25, ,
UCEAP,Norway,Oslo Summer - University of Oslo,Summer,2.85,yes,Yes,Discipline Focused,interdisciplinary,No,2024-25,name changed from ISS in 2019,
UCEAP,Norway,University of Oslo,Fall semester,2.75,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Norway,University of Oslo,Spring semester,2.75,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Norway,University of Oslo,Year,2.75,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Russia,Russian Area Studies - CIEE St. Petersburg,Fall semester,2.50,Mixed,Yes,Discipline Focused,interdisciplinary,No,2024-25, ,
UCEAP,Russia,Russian Area Studies - CIEE St. Petersburg,Spring semester,2.50,Mixed,Yes,Discipline Focused,interdisciplinary,No,2024-25, ,
UCEAP,Russia,Russian Language - CIEE St. Petersburg,Fall semester,2.50,No,Yes,Language,humanities,No,2024-25, ,
UCEAP,Russia,Russian Language - CIEE St. Petersburg,Spring semester,2.50,No,Yes,Language,humanities,No,2024-25, ,
UCEAP,Russia,Russian Language - CIEE St. Petersburg,Summer,2.50,No,Yes,Language,humanities,No,2024-25, ,
UCEAP,Russia,Russian Language - CIEE St. Petersburg,Year,2.50,No,Yes,Language,humanities,No,2024-25, ,
UCEAP,Scotland,Glasgow Summer Physics - University of Glasgow,Summer,2.90,yes,Yes,Themed,physical science,No,2024-25,name changed from Science Summer School in 2019,
UCEAP,Scotland,Intern Scotland,Fall semester,3.00,yes,No,Intern,social science,Required,2024-25, ,
UCEAP,Scotland,Intern Scotland,Spring semester,3.00,yes,No,Intern,social science,Required,2024-25, ,
UCEAP,Scotland,Summer Research in Glasgow,Summer,3.00,yes,No,Research,open,No,2024-25, ,
UCEAP,Scotland,University of Edinburgh,Fall semester,3.00,yes,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Scotland,University of Edinburgh,Spring semester,3.00,yes,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Scotland,University of Edinburgh,Year,3.00,yes,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Scotland,University of Glasgow,Fall semester,3.00,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Scotland,University of Glasgow,Spring semester,3.00,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Scotland,University of Glasgow,Year,3.00,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Scotland,University of St. Andrews,Fall semester,3.00,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Scotland,University of St. Andrews,Spring semester,3.00,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Scotland,University of St. Andrews,Year,3.00,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Singapore,Biodiversity - National University of Singapore,Summer,2.85,yes,Yes,Themed,life sciences,No,2024-25, ,
UCEAP,Singapore,Nanyang Technical University,Fall semester,2.85,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Singapore,Nanyang Technical University,Spring semester,2.85,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Singapore,Nanyang Technical University,Year,2.85,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Singapore,National University of Singapore,Fall semester,2.85,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Singapore,National University of Singapore,Spring semester,2.85,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Singapore,National University of Singapore,Year,2.85,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Singapore,Singapore University of Technology and Design,Spring semester,2.85,yes,Yes,Immersion,engineering,No,2024-25, ,
UCEAP,Singapore,Summer Global Internship - CIEE Singapore,Summer,2.50,yes,Yes,Intern,open,Required,2024-25, ,
UCEAP,Singapore,Summer STEM Research - Singapore University of Technology and Design,Summer,2.85,yes,Yes,Research,STEM,No,2024-25, ,
UCEAP,South Africa,Summer Global Internship - CIEE Cape Town,Summer,2.50,yes,Yes,Intern,open,Required,2024-25, ,
UCEAP,South Africa,University of Cape Town,Fall semester,3.00,yes,No,Immersion,open,No,2024-25, ,
UCEAP,South Africa,University of Cape Town,Spring semester,3.00,yes,No,Immersion,open,No,2024-25, ,
UCEAP,Spain,21st Century Barcelona - Pompeu Fabra,Summer,3.00,Mixed,Yes,International School,interdisciplinary,No,2024-25,name changed from ISS in 2019,
UCEAP,Spain,Barcelona Summer - University of Barcelona,Summer,2.50,yes,Yes,International School,social science,No,2024-25, ,
UCEAP,Spain,Beyond Barcelona,Summer,2.75,yes,Yes,International School,open,No,2024-25, ,
UCEAP,Spain,Carlos III University of Madrid,Fall semester,2.75,Mixed,Yes,Immersion,open,No,2024-25, ,
UCEAP,Spain,Carlos III University of Madrid,Spring semester,2.75,Mixed,Yes,Immersion,open,No,2024-25, ,
UCEAP,Spain,Carlos III University of Madrid,Year,2.75,Mixed,Yes,Immersion,open,No,2024-25, ,
UCEAP,Spain,Complutense Unversity of Madrid,Fall semester,2.75,No,Yes,Immersion,open,No,2024-25, ,
UCEAP,Spain,Complutense Unversity of Madrid,Year,2.75,No,Yes,Immersion,open,No,2024-25, ,
UCEAP,Spain,Engineering and Research - Carlos III University,Summer,2.75,yes,Yes,Research,engineering,No,2024-25, ,
UCEAP,Spain,Python and Applications in Data Science - UC Center Madrid,Summer,2.50,yes,Yes,Themed,engineering,No,2024-25, ,
UCEAP,Spain,Spanish in Madrid - UC Center Madrid,Summer,2.00,No,Yes,Language,humanities,No,2024-25,name changed from L&C in 2019,
UCEAP,Spain,University of Barcelona,Fall semester,2.75,No,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Spain,University of Barcelona,Spring semester,2.75,No,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Spain,University of Barcelona,Year,2.75,No,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Spain/Italy,Sustainable Food Systems in the Mediterranean - Barcelona to Florence,Fall semester,2.50,yes,Yes,Themed,interdisciplinary,No,2024-25,"name changed from Mediterranean Politics, Food & Culture in 2022",
UCEAP,Spain/Italy,Sustainable Food Systems in the Mediterranean - Florence to Barcelona,Fall semester,2.50,yes,Yes,Themed,interdisciplinary,No,2024-25,"name changed from Mediterranean Politics, Food & Culture in 2022",
UCEAP,Sweden,Lund University,Fall semester,2.75,yes,No,Immersion,open,Optional,2024-25, ,
UCEAP,Sweden,Lund University,Spring semester,2.75,yes,No,Immersion,open,Optional,2024-25, ,
UCEAP,Sweden,Lund University,Year,2.75,yes,No,Immersion,open,Optional,2024-25, ,
UCEAP,Switzerland,Global Studies - University of Geneva,Spring Semester,3.00,Mixed,No,Discipline Focused,social science,No,2024-25,"""International"" dropped from the name in 2019",
UCEAP,Switzerland,Global Studies - University of Geneva,Spring Semester,3.00,Mixed,No,Discipline Focused,social science,Required,2024-25,"""International"" dropped from the name in 2019; students provided list of organizations",
UCEAP,Taiwan,Chinese in Taipei - National Taiwan University,Summer,2.50,Mixed,Yes,Language,humanities,No,2024-25,replacing NTNU L&C for 2020,
UCEAP,Taiwan,National Taiwan University,Fall semester,3.00,Mixed,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Taiwan,National Taiwan University,Spring semester,3.00,Mixed,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Taiwan,National Taiwan University,Year,3.00,No,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Taiwan,Research in Taipei - National Taiwan University,Summer,2.70,yes,No,Research,STEM,No,2024-25,"changed name from Lab Research, Engineering & Science in 2019",
UCEAP,Thailand,International Economics  - Thammasat University,Summer,2.85,yes,Yes,Discipline Focused,social science,No,2024-25,name changed from Development and International Economics in Southeast Asia  in 2019,
UCEAP,Thailand,Summer Internship - Bangkok,Summer,2.50,yes,Yes,Intern,open,Required,2024-25, ,
UCEAP,Thailand,Thammasat University,Fall semester,2.85,Mixed,No,Immersion,open,Optional,2024-25, ,
UCEAP,Thailand,Thammasat University,Spring semester,2.85,Mixed,No,Immersion,open,Optional,2024-25, ,
UCEAP,Thailand,Thammasat University,Year,2.85,Mixed,No,Immersion,open,Optional,2024-25, ,
UCEAP,UK-England,"Environment and Sustainability, University of East Anglia",Fall semester,2.85,yes,No,Immersion,open,No,2024-25,name changed in 2023,
UCEAP,UK-England,"Environment and Sustainability, University of East Anglia",Spring semester,2.85,yes,No,Immersion,open,No,2024-25, ,
UCEAP,UK-England,"Environment and Sustainability, University of East Anglia",Year,2.85,yes,No,Immersion,open,No,2024-25, ,
UCEAP,UK-England,Imperial College London,Year,3.00,yes,No,Immersion,open,No,2024-25, ,
UCEAP,UK-England,King's College London,Fall semester,3.30,yes,No,Immersion,open,No,2024-25, ,
UCEAP,UK-England,King's College London,Spring semester,3.30,yes,No,Immersion,open,No,2024-25, ,
UCEAP,UK-England,King's College London,Year,3.30,yes,No,Immersion,open,No,2024-25, ,
UCEAP,UK-England,London School of Economics,Year,3.30,yes,No,Immersion,open,No,2024-25, ,
UCEAP,UK-England,London's Calling - UC Center London,Fall quarter,2.00,yes,Yes,Themed,interdisciplinary,No,2024-25,added in 2021,
UCEAP,UK-England,London's Calling - UC Center London,Fall semester,2.00,yes,Yes,Themed,interdisciplinary,Optional,2024-25,"name changed from Arts, Politics, Society, & Space in 2019",
UCEAP,UK-England,Sotheby's Institute of Art,Fall semester,3.00,yes,No,Discipline Focused,humanities,Optional,2024-25, ,
UCEAP,UK-England,Sotheby's Institute of Art,Spring semester,3.00,yes,No,Discipline Focused,humanities,Optional,2024-25, ,
UCEAP,UK-England,Summer at LSE - LSE,Summer,2.85,yes,Yes,International School,open,No,2024-25,name changed from ISS in 2019,
UCEAP,UK-England,Summer at University College London - University College London,Summer,3.00,yes,Yes,International School,open,No,2024-25, ,
UCEAP,UK-England,"Summer in Cambridge - Pembroke College, Cambridge University",Summer,3.20,yes,Yes,International School,open,No,2024-25, ,
UCEAP,UK-England,"Summer in Oxford - Exeter College, Oxford University",Summer,3.30,yes,No,International School,open,No,2024-25, ,
UCEAP,UK-England,Summer in Sussex - University of Sussex,Summer,2.50,yes,Yes,International School,open,No,2024-25,name changed from ISS in 2019,
UCEAP,UK-England,Summer Study in London - Sotheby's Institute of Art,Summer,3.00,yes,Yes,Discipline Focused,humanities,No,2024-25, ,
UCEAP,UK-England,Sussex Summer Physics - University of Sussex,Summer,2.50,yes,Yes,Themed,physical science,No,2024-25,pulled out in 2022,
UCEAP,UK-England,University College London,Fall semester,3.30,yes,No,Immersion,open,No,2024-25, ,
UCEAP,UK-England,University College London,Spring semester,3.30,yes,No,Immersion,open,No,2024-25, ,
UCEAP,UK-England,University College London,Year,3.30,yes,No,Immersion,open,No,2024-25, ,
UCEAP,UK-England,University of Bristol,Fall semester,3.00,yes,No,Immersion,open,No,2024-25, ,
UCEAP,UK-England,University of Bristol,Spring semester,3.00,yes,No,Immersion,open,No,2024-25, ,
UCEAP,UK-England,University of Bristol,Year,3.00,yes,No,Immersion,open,No,2024-25, ,
UCEAP,UK-England,"University of London, Queen Mary",Fall semester,3.00,yes,No,Immersion,open,No,2024-25, ,
UCEAP,UK-England,"University of London, Queen Mary",Spring semester,3.00,yes,No,Immersion,open,No,2024-25, ,
UCEAP,UK-England,"University of London, Queen Mary",Year,3.00,yes,No,Immersion,open,No,2024-25, ,
UCEAP,UK-England,"University of London, Royal Holloway",Fall semester,3.00,yes,No,Immersion,open,No,2024-25, ,
UCEAP,UK-England,"University of London, Royal Holloway",Spring semester,3.00,yes,No,Immersion,open,No,2024-25, ,
UCEAP,UK-England,"University of London, Royal Holloway",Year,3.00,yes,No,Immersion,open,No,2024-25, ,
UCEAP,UK-England,University of Manchester,Fall semester,3.00,yes,No,Immersion,open,No,2024-25, ,
UCEAP,UK-England,University of Manchester,Spring semester,3.00,yes,No,Immersion,open,No,2024-25, ,
UCEAP,UK-England,University of Manchester,Year,3.00,yes,No,Immersion,open,No,2024-25, ,
UCEAP,UK-England,University of Sussex,Fall semester,2.80,yes,No,Immersion,open,No,2024-25, ,
UCEAP,UK-England,University of Sussex,Spring semester,2.80,yes,No,Immersion,open,No,2024-25, ,
UCEAP,UK-England,University of Sussex,Year,2.80,yes,No,Immersion,open,No,2024-25, ,
UCEAP,UK-England/France,Business and Entrepreneurship in London - UC Center London,spring semester,2.50,yes,Yes,Themed,social science,Optional,2024-25, ,
UCEAP,UK-England/France,Business and Entrepreneurship in London - UC Center London,Winter quarter,2.50,yes,Yes,Themed,social science,No,2024-25, ,
UCEAP,UK-England/France,Global Cities Urban Realities,Spring quarter,2.50,yes,Yes,Themed,interdisciplinary,No,2024-25, ,
UCLA,Argentina,Travel Study: Spanish - Taking it to the Streets in the Buenos Aires,Summer,,n/a,n/a,n/a,n/a,No,2024-25,Travel Study,
UCLA,Denmark,Travel Study: ELTS - In the Footsteps of Hans Christian Andersen,Summer,,n/a,n/a,n/a,n/a,No,2024-25,Travel Study,
UCLA,France,"Travel Study: ELTS - Exploring Sustainability in Nantes, France",Summer,,n/a,n/a,n/a,n/a,No,2024-25,Travel Study,
UCLA,Germany,Travel Study: ELTS - Diverse Berlin: Culture and Language in Context,Summer,,n/a,n/a,n/a,n/a,No,2024-25,Travel Study,
UCLA,Greece,Travel Study: History - Ancient Greece,Summer,,n/a,n/a,n/a,n/a,No,2024-25,Travel Study,
UCLA,Italy,Travel Study: Classics & History - Exploring Ancient Rome,Summer,,n/a,n/a,n/a,n/a,No,2024-25,Travel Study,
UCLA,Italy,"Travel Study: ELTS - Dante, Shakespeare, and Opera in Milan & Verona",Summer,,n/a,n/a,n/a,n/a,No,2024-25,Travel Study,
UCLA,Italy,Travel Study: English - American Writers and Artists Abroad,Summer,,n/a,n/a,n/a,n/a,No,2024-25,Travel Study,
UCLA,Japan,"Travel Study: Global Studies - Business Leadership, Communication, and Culture",Summer,,n/a,n/a,n/a,n/a,No,2024-25,Travel Study,
UCLA,Netherlands,Travel Study: Global Studies - The Global Governance of International Human Rights,Summer,,n/a,n/a,n/a,n/a,No,2024-25,Travel Study,
UCLA,Netherlands and Belgium,Travel Study: Management - International Business and Law,Summer,,n/a,n/a,n/a,n/a,No,2024-25,Travel Study,
UCLA,New Zealand,Travel Study: Social Science IDP - Social Science in Context - Understanding New Zealand,Summer,,n/a,n/a,n/a,n/a,No,2024-25,Travel Study,
UCLA,Spain,Travel Study: Spanish -  Language and Culture in Spain,Summer,,n/a,n/a,n/a,n/a,No,2024-25,Travel Study,
UCLA,Spain,Travel Study: Spanish - Spanish Language and Culture in Spain,Summer,,n/a,n/a,n/a,n/a,No,2024-25,Travel Study,
UCLA,UK-England,"Travel Study: English - London, City of Transformations",Summer,,n/a,n/a,n/a,n/a,No,2024-25,Travel Study,
UCR,Belize,"Hip Hop and the Power of Dramatic Writing | Theatre, Film, and Digital Production in Belize",Summer,,n/a,n/a,n/a,n/a,No,2024-25,Faculty Led Education Abroad Program (FLEAP),
UCR,Costa Rica,Startup Bootcamp: An International Perspective | Computer Science in Costa Rica,Summer,,n/a,n/a,n/a,n/a,No,2024-25,Faculty Led Education Abroad Program (FLEAP),
UCR,Hong Kong,Child Development: A Global Perspective Psychology in Hong Kong,Summer,,n/a,n/a,n/a,n/a,No,2024-25,Faculty Led Education Abroad Program (FLEAP),
UCR,Indonesia,"Bali & Yogya: Religion, Culture, and Nature in Indonesia",Summer,,n/a,n/a,n/a,n/a,No,2024-25,Faculty Led Education Abroad Program (FLEAP),
UCR,Italy,"Delicious Italy: Specialty Farming, Food Production, and Agriculture's Environmental Footprint in Northern Italy and Parallels to California",Summer,,n/a,n/a,n/a,n/a,No,2024-25,Faculty Led Education Abroad Program (FLEAP),
UCR,Japan,"Media and Cultural Studies in Chiba, Japan",Summer,,n/a,n/a,n/a,n/a,No,2024-25,Faculty Led Education Abroad Program (FLEAP),
UCR,Namibia,Biology and Ecology Field Studies in Namibia,Summer,,n/a,n/a,n/a,n/a,No,2024-25,Faculty Led Education Abroad Program (FLEAP),
UCR,Spain,Drugs and Crime in Barcelona | Media and Cultural Studies in Spain,Summer,,n/a,n/a,n/a,n/a,No,2024-25,Faculty Led Education Abroad Program (FLEAP),
UCR,Spain,"Linguistics in Madrid and Bilbao, Spain",Summer,,n/a,n/a,n/a,n/a,No,2024-25,Faculty Led Education Abroad Program (FLEAP),
UCR,Spain,"Madrid, Spain: Interculturalism in the Crossroads (en español)",Summer,,n/a,n/a,n/a,n/a,No,2024-25,Faculty Led Education Abroad Program (FLEAP),
UCR,UK-England,Austen and the City | English in London,Summer,,n/a,n/a,n/a,n/a,No,2024-25,Faculty Led Education Abroad Program (FLEAP),
UCR,UK-England,Computer App Development in London,Summer,,n/a,n/a,n/a,n/a,No,2024-25,Faculty Led Education Abroad Program (FLEAP),
UCR,UK-England,Downton Abbey: Popular Culture and Political Consensus - What's in Common?,Summer,,n/a,n/a,n/a,n/a,No,2024-25,Faculty Led Education Abroad Program (FLEAP),
UCR,UK-England,London Leadership Experience | Business in London,Summer,,n/a,n/a,n/a,n/a,No,2024-25,Faculty Led Education Abroad Program (FLEAP),
UCSC,Chile,Global Internship: Sociology,Summer,,Yes,n/a,n/a,n/a,Yes,2024-25,Internship,
UCSC,Colombia,University of the Andes,Fall semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Colombia,University of the Andes,Spring semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Colombia,University of the Andes,Year,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
UCSC,Denmark,Aarhus University,Fall semester,,n/a,n/a,n/a,n/a,No,2024-25,Exchange,
