UCEAP/ Campus,Country,Program Title,Term,GPA,English-language instruction?,Sophomores?,UCEAP Program Type,Broad Field of Study,Internship: Required or Optional,Academic Year,Notes,
UCD,Spain,Engineering and Computer Science Internships,Summer,,Yes,n/a,n/a,n/a,n/a,2024-25,Internship,
UCD,Spain,"Environment, Green Tech, and Sustainability Internships",Summer,,Yes,n/a,n/a,n/a,n/a,2024-25,Internship,
UCD,Spain,History of Cancer,Summer,,Yes,n/a,n/a,n/a,n/a,2024-25,Summer Abroad,
UCD,Spain,Housing and Urbanism in Barcelona,Summer,,Yes,n/a,n/a,n/a,n/a,2024-25,Summer Abroad,
UCD,Spain,Psychology Internships,Summer,,Yes,n/a,n/a,n/a,n/a,2024-25,Internship,
UCD,Spain,Three Cultures of Medieval Spain,Summer,,Yes,n/a,n/a,n/a,n/a,2024-25,Summer Abroad,
UCD,"Switzerland, France",World Cinema and the European Film Festival,Summer,,Yes,n/a,n/a,n/a,n/a,2024-25,Summer Abroad,
UCD,Taiwan,Pharmaceutical Chemistry in Taiwan,Fall semester,,Yes,n/a,n/a,n/a,No,2024-25,Quarter Abroad,
UCD,Thailand,Education Internships,Summer,,Yes,n/a,n/a,n/a,Yes,2024-25,Internship,
UCD,Thailand,Microbiology Lab in the Kingdom of Smiles,Summer,,Yes,n/a,n/a,n/a,n/a,2024-25,Summer Abroad,
UCD,Thailand,"Wildlife, Conservation, and Veterinary Medicine Internships",Summer,,Yes,n/a,n/a,n/a,Yes,2024-25,Internship,
UCD,UK-England,Organic Chemistry in Nottingham,Summer,,Yes,n/a,n/a,n/a,n/a,2024-25,Summer Abroad,
UCD,UK-England,Oxford on Film,Summer,,Yes,n/a,n/a,n/a,n/a,2024-25,Summer Abroad,
UCD,UK-England,Political Science at the London School of Economics,Fall semester,,Yes,n/a,n/a,n/a,n/a,2024-25,Quarter Abroad,
UCD,UK-Scotland,In Search of Scotland,Summer,,Yes,n/a,n/a,n/a,n/a,2024-25,Summer Abroad,
UCD,"United Kingdom, Iceland",Design in Europe,Summer,,Yes,n/a,n/a,n/a,n/a,2024-25,Summer Abroad,
UCEAP,Argentina/Chile,Human Rights & Cultural Memory,Fall semester,2.50,Mixed,Yes,Themed,interdisciplinary,No,2024-25, ,
UCEAP,Australia,Australian National University,Fall semester,2.75,yes,Yes,Discipline Focused,social science,Required,2024-25,"name changed from ANU in 2019, changed back in 2023",
UCEAP,Australia,Australian National University,Spring semester,2.75,yes,Yes,Discipline Focused,social science,Required,2024-25,"name changed from ANU in 2019, changed back in 2023",
UCEAP,Australia,Marine Biology & Terrestrial Ecology - Univ. of Queensland,Fall semester,2.75,yes,Yes,Themed,life sciences,No,2024-25, ,
UCEAP,Australia,Marine Biology & Terrestrial Ecology - Univ. of Queensland,Spring semester,2.75,yes,Yes,Themed,life sciences,No,2024-25, ,
UCEAP,Australia,University of Melbourne,Fall semester,2.85,yes,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Australia,University of Melbourne,Spring semester,2.85,yes,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Australia,University of New South Wales,Fall quarter,2.85,yes,Yes,Immersion,open,No,2024-25,switched from semesters to quarters in 2018,
UCEAP,Australia,University of New South Wales,Winter + Spring quarters,2.85,yes,Yes,Immersion,open,No,2024-25,switched from semesters to quarters in 2018,
UCEAP,Australia,University of Queensland,Fall semester,2.85,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Australia,University of Queensland,Spring semester,2.85,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Australia,University of Sydney,Fall semester,2.80,yes,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Australia,University of Sydney,Spring semester,2.80,yes,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Barbados,University of the West Indies,Fall semester,2.75,yes,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Barbados,University of the West Indies,Spring semester,2.75,yes,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Barbados,University of the West Indies,Year,2.75,yes,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Belgium,Field Research and Internship - Brussels,Fall semester,3.00,No,No,Research,open,Required,2024-25, ,
UCEAP,Belgium,Field Research and Internship - Brussels,Spring semester,3.00,No,No,Research,open,Required,2024-25, ,
UCEAP,Botswana,"Community Public Health - University of Botswana, CIEE",Fall semester,2.75,yes,Yes,Themed,life sciences,Required,2024-25, ,
UCEAP,Brazil,Brazil Summer Seminar - PUC Rio,Summer,2.85,Mixed,Yes,International School,interdisciplinary,No,2024-25,took place of the summer intensive language program,
UCEAP,Brazil,PUC Rio,Fall semester,2.85,Mixed,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Brazil,PUC Rio,Spring semester,2.85,Mixed,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Brazil,PUC Rio,Year,2.85,Mixed,Yes,Immersion,open,Optional,2024-25, ,
UCEAP,Canada,McGill,Fall semester,3.00,yes,No,Immersion,open,No,2024-25, ,
UCEAP,Canada,McGill,Spring semester,3.00,yes,No,Immersion,open,No,2024-25, ,
UCEAP,Canada,McGill,Year,3.00,yes,No,Immersion,open,No,2024-25, ,
