,UC Percentage along Dimension,UCEAP Percentage along Dimension,UCEAP vs UC PP Diff along Dimension
UCB,14%,22%,▲8 pp
UCD,14%,6%,▼7 pp
UCI,13%,11%,▼2 pp
UCLA,14%,19%,▲5 pp
UCM,4%,2%,▼2 pp
UCR,10%,3%,▼7 pp
UCSB,10%,21%,▲11 pp
UCSC,8%,7%,▼1 pp
UCSD,14%,9%,▼5 pp
