Country,Male,Female,Program Title,GPA,English-language instruction?
hong kong,"1,378","2,123",HKUST,3.0,yes
hong kong,"1,378","2,123",Hong Kong Summer - CUHK,2.5,yes
hong kong,"1,378","2,123",Undergraduate Research - CUHK,2.85,yes
hong kong,"1,378","2,123",Child Development: A Global Perspective Psychology in Hong Kong,,
iceland,4,6,Thermodynamics in the Land of Fire and Ice,,Yes
iceland,4,6,Design in Europe,,Yes
iceland,4,6,University of Iceland,2.85,Mixed
india,282,512,New Delhi Summer - New Delhi,2.5,yes
indonesia,81,115,"Bali & Yogya: Religion, Culture, and Nature in Indonesia",,
ireland,653,"2,057",Bio Sci 2A on the Emerald Isle,,Yes
ireland,653,"2,057",Dublin Summer Physics - University College Dublin,2.5,yes
ireland,653,"2,057",Irish Parlament Internship,3.0,yes
ireland,653,"2,057","National University of Ireland, Galway",3.0,yes
ireland,653,"2,057",Trinity College Dublin,3.1,yes
ireland,653,"2,057",Univeristy College Dublin,3.0,yes
ireland,653,"2,057",University College Cork,3.0,yes
ireland,653,"2,057",Global Internship: Psychology and Cognitive Science,,
ireland,653,"2,057",Global Seminar: Travel Writing and Podcasting in Ireland,,
ireland,653,"2,057",Sixth College Internships in Dublin,,
israel,726,"1,111",Hebrew University of Jerusalem,2.85,Mixed
israel,726,"1,111","Israel Institute of Technology, Technion/Neubauer (internship + courses, course + internship)",3.0,yes
israel,726,"1,111",Summer at Hebrew University of Jerusalem,2.85,yes
italy,"3,1597255","10,59020914","Art, Culture, History in the Eternal City",,Yes
italy,"3,1597255","10,59020914",Immersive Artistry - Summer Sketching in Italy,,Yes
italy,"3,1597255","10,59020914",Science of the Mind,,Yes
italy,"3,1597255","10,59020914","Art, Food and Society - UC Center Rome",2.0,Mixed
italy,"3,1597255","10,59020914",Communication Studies in Rome,2.0,yes
italy,"3,1597255","10,59020914",Crossroads of Culture in the Mediterranean,2.5,yes
italy,"3,1597255","10,59020914",Italian in Florence,2.0,Mixed
italy,"3,1597255","10,59020914","Made in Italy, Rome",2.0,Mixed
italy,"3,1597255","10,59020914","Made in Italy: Language, Culture, Food and Business -UC Center Florence",2.0,Mixed
italy,"3,1597255","10,59020914","Psychology and Cognitive Science, University of Padova",3.0,Mixed
italy,"3,1597255","10,59020914",Sociology in Rome,2.0,yes
italy,"3,1597255","10,59020914",University of Bologna,2.75,No
italy,"3,1597255","10,59020914",University of Commerce Luigi Bocconi,3.2,Mixed
italy,"3,1597255","10,59020914","Volcanology Studies, Sicily",2.5,yes
italy,"3,1597255","10,59020914",Sustainable Food Systems in the Mediterranean - Barcelona to Florence,2.5,yes
italy,"3,1597255","10,59020914",Sustainable Food Systems in the Mediterranean - Florence to Barcelona,2.5,yes
italy,"3,1597255","10,59020914",Travel Study: Classics & History - Exploring Ancient Rome,,
italy,"3,1597255","10,59020914","Travel Study: ELTS - Dante, Shakespeare, and Opera in Milan & Verona",,
italy,"3,1597255","10,59020914",Travel Study: English - American Writers and Artists Abroad,,
italy,"3,1597255","10,59020914","Delicious Italy: Specialty Farming, Food Production, and Agriculture's Environmental Footprint in Northern Italy and Parallels to California",,
italy,"3,1597255","10,59020914",Global Seminar: Film History and Preservation in Bologna,,
italy,"3,1597255","10,59020914",Global Seminars: Italian Culture Through Food and Language on the Amalfi Coast,,
italy,"3,1597255","10,59020914",University of Padova,,
italy,"3,1597255","10,59020914",Revelle in Rome,,
japan,"2,980","3,167",Business and Communication Internships,,Yes
japan,"2,980","3,167",Deisgn in Japan,,Yes
japan,"2,980","3,167",Engineering and Computer Science Internships,,Yes
japan,"2,980","3,167","Global Internships: Tokyo, Japan",,Yes
japan,"2,980","3,167",Life Sciences in Japan,,Yes
japan,"2,980","3,167",Engineering & Science - Tohoku University,2.85,Mixed
japan,"2,980","3,167","Global Studies, Japan - Meiji Gakuin University",3.0,yes
japan,"2,980","3,167",Hitotsubashi University,2.85,Mixed
japan,"2,980","3,167",International Christian University,3.0,Mixed
japan,"2,980","3,167",Japanese in Kyoto - Doshisha University,2.5,No
japan,"2,980","3,167",Japanese in Osaka - Osaka University,2.85,No
japan,"2,980","3,167",Japanese in Toyko - International Christian University,3.0,No
japan,"2,980","3,167",Keio University,3.0,Mixed
japan,"2,980","3,167",STEM Research Tokyo - University of Tokyo,3.3,yes
japan,"2,980","3,167","STEM Research, Osaka University",3.0,Mixed
japan,"2,980","3,167","STEM Research, Osaka University",3.0,yes
japan,"2,980","3,167",Waseda University,3.0,Mixed
japan,"2,980","3,167","Travel Study: Global Studies - Business Leadership, Communication, and Culture",,
japan,"2,980","3,167","Media and Cultural Studies in Chiba, Japan",,
japan,"2,980","3,167", Global Seminar: Mokuhanga Printmaking in Japan,,
japan,"2,980","3,167",Kyoto University,,
japan,"2,980","3,167",Osaka University,,
japan,"2,980","3,167",Rikkyo University,,
japan,"2,980","3,167",Sophia University,,
japan,"2,980","3,167",University of the Ryukus,,
japan,"2,980","3,167",University of Tokyo,,
jordan,49,101,Advanced Arabic Language - CIEE,3.0,No
jordan,49,101,Middle East Studies - CIEE,2.5,Mixed
korea,"2,207","4,722",KAIST,2.85,Mixed
korea,"2,207","4,722",Korea University,2.5,Mixed
korea,"2,207","4,722",Seoul National University,2.85,Mixed
korea,"2,207","4,722",Seoul Summer - Yonsei University,2.0,Mixed
korea,"2,207","4,722",Yonsei University,2.85,Mixed
korea,"2,207","4,722",Korea Advanced Institute of Science and Technology,,
korea,"2,207","4,722",Korea University,,
korea,"2,207","4,722",Seoul National University,,
korea,"2,207","4,722",Sungkyunkwan University,,
mexico,"1,0302","2,63819","Entre dos Mundos/Between Two Worlds | Nauatl and Spanish languages, cultures, and histories",,Yes
mexico,"1,0302","2,63819",Building Sustainable Water Treatment Systems,,Yes
mexico,"1,0302","2,63819",Latinx Health Internship in Oaxaca,,Yes
mexico,"1,0302","2,63819",Community Health in Mexico,2.5,Mixed
mexico,"1,0302","2,63819",Contemporary Mexico - UC Center Mexico City,2.5,Mixed
mexico,"1,0302","2,63819",Field Research in Mexico - UC Center Mexico City,2.5,No
mexico,"1,0302","2,63819",Leadership in Social Justice and Public Policy - UNAM and UCCS,3.0,Mixed
mexico,"1,0302","2,63819",UNAM,2.75,No
morocco,15,57,Arabic Language and Culture- CIEE,2.5,Mixed
netherlands,52889,"141,722",Sustainable Urban Systems,,Yes
netherlands,52889,"141,722",Biological and Life Sciences - Maastricht University,3.0,yes
netherlands,52889,"141,722",Business & Economics - Maastricht University,3.0,yes
netherlands,52889,"141,722",Maastricht Summer - Maastricht University,3.0,yes
netherlands,52889,"141,722",Psychology & Neuroscience - Maastricht University,3.0,yes
netherlands,52889,"141,722",University College Maastricht,2.85,yes
netherlands,52889,"141,722",University College Utrecht,3.0,yes
netherlands,52889,"141,722",Utrecht University,2.85,yes
netherlands,52889,"141,722",Wageningen University,3.0,yes
netherlands,52889,"141,722",Travel Study: Global Studies - The Global Governance of International Human Rights,,
netherlands,52889,"141,722",Travel Study: Management - International Business and Law,,
new zealand,499,971,"Environment, Green Tech, and Sustainability Internships",,Yes
new zealand,499,971,Psychology Internships,,Yes
new zealand,499,971,Massey University,2.75,yes
new zealand,499,971,University of Auckland,2.85,yes
new zealand,499,971,University of Canterbury,2.75,yes
new zealand,499,971,University of Otago,2.85,yes
new zealand,499,971,University of Waikato,2.75,yes
new zealand,499,971,Victoria University of Wellington,2.75,yes
new zealand,499,971,Travel Study: Social Science IDP - Social Science in Context - Understanding New Zealand,,
new zealand,499,971,"Screening New Zealand: Cinema, Globalization & CAT",,
norway,198,266,Oslo Summer - University of Oslo,2.85,yes
norway,198,266,University of Oslo,2.75,yes
norway,198,266,Norwegian University of Science and Technology,,
norway,198,266,University of Bergen,,
peru,35,52,Pontificia U Catolica del Peru,,
philippines,47,85,Narratives of Tradition and Resistance,2.0,Yes
philippines,47,85,Remote Island Medicine Internships,,Yes
russia,374,477,Russian Area Studies - CIEE St. Petersburg,2.5,Mixed
russia,374,477,Russian Language - CIEE St. Petersburg,2.5,No
singapore,579,914,Global Internships: Singapore,2.0,Yes
singapore,579,914,Biodiversity - National University of Singapore,2.85,yes
singapore,579,914,Nanyang Technical University,2.85,yes
singapore,579,914,National University of Singapore,2.85,yes
singapore,579,914,Singapore University of Technology and Design,2.85,yes
singapore,579,914,Summer Global Internship - CIEE Singapore,2.5,yes
singapore,579,914,Summer STEM Research - Singapore University of Technology and Design,2.85,yes
south africa,305,807,Hospital Medicine and Health Disparities Internships,,Yes
south africa,305,807,Summer Global Internship - CIEE Cape Town,2.5,yes
south africa,305,807,University of Cape Town,3.0,yes
south africa,305,807,Global Internship: Psychology and Cognitive Science,,
spain,"72553,837","2091411,144","Barcelona, Spain: The Other Side/El Otro Lado",2.0,Yes
spain,"72553,837","2091411,144","Global Internships: Barcelona, Spain",2.0,Yes
spain,"72553,837","2091411,144",Spanish Language and Culture,2.0,Yes
spain,"72553,837","2091411,144",Business and Communication Internships,,Yes
spain,"72553,837","2091411,144",Engineering and Computer Science Internships,,Yes
spain,"72553,837","2091411,144","Environment, Green Tech, and Sustainability Internships",,Yes
spain,"72553,837","2091411,144",History of Cancer,,Yes
spain,"72553,837","2091411,144",Housing and Urbanism in Barcelona,,Yes
spain,"72553,837","2091411,144",Psychology Internships,,Yes
spain,"72553,837","2091411,144",Three Cultures of Medieval Spain,,Yes
spain,"72553,837","2091411,144",21st Century Barcelona - Pompeu Fabra,3.0,Mixed
spain,"72553,837","2091411,144",Barcelona Summer - University of Barcelona,2.5,yes
spain,"72553,837","2091411,144",Beyond Barcelona,2.75,yes
spain,"72553,837","2091411,144",Carlos III University of Madrid,2.75,Mixed
spain,"72553,837","2091411,144",Complutense Unversity of Madrid,2.75,No
spain,"72553,837","2091411,144",Engineering and Research - Carlos III University,2.75,yes
spain,"72553,837","2091411,144",Python and Applications in Data Science - UC Center Madrid,2.5,yes
spain,"72553,837","2091411,144",Spanish in Madrid - UC Center Madrid,2.0,No
spain,"72553,837","2091411,144",University of Barcelona,2.75,No
spain,"72553,837","2091411,144",Sustainable Food Systems in the Mediterranean - Barcelona to Florence,2.5,yes
spain,"72553,837","2091411,144",Sustainable Food Systems in the Mediterranean - Florence to Barcelona,2.5,yes
spain,"72553,837","2091411,144",Travel Study: Spanish -  Language and Culture in Spain,,
spain,"72553,837","2091411,144",Travel Study: Spanish - Spanish Language and Culture in Spain,,
spain,"72553,837","2091411,144",Drugs and Crime in Barcelona | Media and Cultural Studies in Spain,,
spain,"72553,837","2091411,144","Linguistics in Madrid and Bilbao, Spain",,
spain,"72553,837","2091411,144","Madrid, Spain: Interculturalism in the Crossroads (en español)",,
spain,"72553,837","2091411,144",Autonomous University of Barcelona,,
spain,"72553,837","2091411,144",Global Seminar: Cultures of Southern Spain,,
spain,"72553,837","2091411,144",Universidad Complutense de Madrid,,
spain,"72553,837","2091411,144",Universidad de Barcelona,,
spain,"72553,837","2091411,144",Universidad de Granada,,
spain,"72553,837","2091411,144",Universitat Pompeu Fabra,,
spain,"72553,837","2091411,144",Multilingual and Multicultural Spain,,
spain,"72553,837","2091411,144",Social Cognition and Drugs in Spain,,
spain,"72553,837","2091411,144","Spanish Memories, African Hopes, Through Literature and Film",,
spain,"72553,837","2091411,144",Universidad Publica de Navarra,,
sweden,"1,362","1,703","Global Internships: Stockholm, Sweden",2.0,Yes
sweden,"1,362","1,703",Lund University,2.75,yes
switzerland,28,119,World Cinema and the European Film Festival,,Yes
switzerland,28,119,Global Studies - University of Geneva,3.0,Mixed
switzerland,28,119,Geology Adventures in the Swiss Alps,,
switzerland,28,119,The Swiss Federal Institute of Technology in Lausanne,,
switzerland,28,119,Zurich University of Applied Sciences,,
taiwan,494,746,Pharmaceutical Chemistry in Taiwan,,Yes
taiwan,494,746,Chinese in Taipei - National Taiwan University,2.5,Mixed
taiwan,494,746,National Taiwan University,3.0,Mixed
taiwan,494,746,National Taiwan University,3.0,No
taiwan,494,746,Research in Taipei - National Taiwan University,2.7,yes
thailand,357,830,Education Internships,,Yes
thailand,357,830,Microbiology Lab in the Kingdom of Smiles,,Yes
thailand,357,830,"Wildlife, Conservation, and Veterinary Medicine Internships",,Yes
thailand,357,830,International Economics  - Thammasat University,2.85,yes
thailand,357,830,Summer Internship - Bangkok,2.5,yes
thailand,357,830,Thammasat University,2.85,Mixed
united kingdom - england,"1755,315","60913,553","Global Internships: London, UK",2.0,Yes
united kingdom - england,"1755,315","60913,553",London and Literary Imagination,2.0,Yes
united kingdom - england,"1755,315","60913,553","Muslims in the West: Immigration, Refugees and Islamophobia",2.0,Yes
united kingdom - england,"1755,315","60913,553",Organic Chemistry in Nottingham,,Yes
